VBELN,ERDAT,AUART,KUNNR,VKORG,VTWEG,SPART,WAERK
OR00004970,2023-01-10,ZOR,C000038,2000,20,02,GBP
OR00004971,2023-02-19,OR,C000062,2000,10,00,USD
OR00004972,2024-03-11,RE,C000040,2000,10,01,EUR
OR00004973,2023-03-31,OR,C000065,3000,30,02,USD
OR00004974,2023-08-19,ZOR,C000066,1000,30,01,GBP
OR00004975,2022-07-22,RE,C000057,3000,10,02,EUR
OR00004976,2023-01-26,ZOR,C000012,3000,30,01,USD
OR00004977,2022-02-02,RE,C000007,2000,10,01,GBP
OR00004978,2022-05-29,ZOR,C000024,2000,20,01,GBP
OR00004979,2021-02-04,RE,C000053,1000,30,01,USD
OR00004980,2021-08-13,RE,C000038,1000,30,01,USD
OR00004981,2024-08-13,ZOR,C000006,3000,20,02,EUR
OR00004982,2022-07-11,RE,C000018,3000,30,00,EUR
OR00004983,2023-07-14,RE,C000067,1000,10,02,USD
OR00004984,2023-12-26,RE,C000044,1000,10,02,GBP
OR00004985,2023-04-20,ZOR,C000026,2000,10,02,EUR
OR00004986,2022-03-19,OR,C000059,1000,30,02,EUR
OR00004987,2023-09-06,RE,C000073,1000,10,00,EUR
OR00004988,2023-05-27,RE,C000028,1000,20,00,USD
OR00004989,2023-09-09,ZOR,C000057,2000,10,00,EUR
OR00004990,2023-10-14,RE,C000080,2000,10,00,EUR
OR00004991,2024-08-08,OR,C000009,3000,20,01,USD
OR00004992,2023-05-07,RE,C000018,2000,20,00,EUR
OR00004993,2022-10-24,ZOR,C000034,2000,10,00,USD
OR00004994,2023-07-02,ZOR,C000069,1000,30,00,GBP
OR00004995,2021-10-23,OR,C000003,1000,20,01,GBP
OR00004996,2024-03-10,OR,C000078,2000,10,00,GBP
OR00004997,2022-01-26,ZOR,C000020,3000,20,00,EUR
OR00004998,2022-10-10,RE,C000046,1000,10,01,EUR
OR00004999,2023-11-30,OR,C000036,2000,30,02,USD
OR00005000,2023-05-25,ZOR,C000035,2000,10,01,GBP
OR00005001,2022-12-11,ZOR,C000033,3000,20,02,EUR
OR00005002,2023-02-18,RE,C000030,3000,30,00,USD
OR00005003,2024-01-13,OR,C000055,1000,20,00,EUR
OR00005004,2022-10-22,OR,C000047,3000,20,01,GBP
OR00005005,2024-02-01,OR,C000001,3000,10,02,GBP
OR00005006,2021-12-02,OR,C000010,1000,20,02,USD
OR00005007,2023-10-21,OR,C000043,1000,30,01,EUR
OR00005008,2024-01-05,ZOR,C000024,3000,20,02,GBP
OR00005009,2022-04-28,RE,C000049,3000,10,02,GBP
OR00005010,2023-01-12,RE,C000004,2000,20,00,GBP
OR00005011,2022-04-06,RE,C000056,2000,30,01,USD
OR00005012,2023-08-18,ZOR,C000056,1000,20,00,USD
OR00005013,2023-04-08,ZOR,C000046,1000,20,00,EUR
OR00005014,2023-06-22,OR,C000066,2000,30,00,USD
OR00005015,2022-05-17,OR,C000070,3000,30,02,GBP
OR00005016,2022-06-05,RE,C000036,1000,30,01,USD
OR00005017,2021-08-19,OR,C000057,2000,20,00,EUR
OR00005018,2022-10-04,OR,C000009,1000,20,00,EUR
OR00005019,2023-04-27,RE,C000078,3000,10,02,EUR
OR00005020,2024-01-17,OR,C000047,3000,10,00,EUR
OR00005021,2023-07-17,OR,C000004,1000,10,01,GBP
OR00005022,2023-01-17,ZOR,C000073,3000,10,02,GBP
OR00005023,2024-06-14,OR,C000077,2000,20,00,EUR
OR00005024,2023-08-29,OR,C000076,2000,10,01,USD
OR00005025,2024-04-30,OR,C000037,1000,20,02,GBP
OR00005026,2023-04-02,RE,C000025,1000,10,02,USD
OR00005027,2022-07-30,RE,C000025,1000,10,00,USD
OR00005028,2021-09-17,RE,C000055,3000,20,00,EUR
OR00005029,2023-09-04,OR,C000035,1000,30,00,USD
OR00005030,2022-01-29,RE,C000070,1000,30,00,USD
OR00005031,2022-09-15,RE,C000040,3000,10,02,USD
OR00005032,2023-04-06,RE,C000058,1000,30,00,USD
OR00005033,2023-04-30,ZOR,C000056,3000,20,00,GBP
OR00005034,2023-05-27,OR,C000045,2000,10,02,GBP
OR00005035,2022-04-07,ZOR,C000067,3000,20,01,USD
OR00005036,2022-11-28,RE,C000026,3000,20,02,GBP
OR00005037,2023-06-08,RE,C000015,1000,30,02,USD
OR00005038,2024-07-23,OR,C000004,2000,10,01,EUR
OR00005039,2023-09-06,ZOR,C000008,3000,10,00,GBP
OR00005040,2024-04-18,RE,C000006,1000,30,01,USD
OR00005041,2023-10-07,ZOR,C000025,2000,10,00,EUR
OR00005042,2023-05-20,ZOR,C000058,3000,20,01,GBP
OR00005043,2022-05-11,OR,C000054,2000,20,02,EUR
OR00005044,2023-07-16,ZOR,C000030,1000,30,00,USD
OR00005045,2023-06-13,OR,C000058,1000,20,02,EUR
OR00005046,2023-05-28,OR,C000016,2000,10,02,GBP
OR00005047,2023-03-03,ZOR,C000020,3000,30,01,USD
OR00005048,2023-04-03,ZOR,C000063,3000,30,00,GBP
OR00005049,2022-10-17,ZOR,C000061,3000,20,01,EUR
OR00005050,2023-03-26,OR,C000029,1000,20,02,USD
OR00005051,2022-05-18,RE,C000052,2000,30,01,USD
OR00005052,2023-11-19,ZOR,C000057,1000,30,01,GBP
OR00005053,2022-05-03,OR,C000062,1000,10,02,EUR
OR00005054,2021-11-26,ZOR,C000055,2000,30,00,EUR
OR00005055,2023-01-17,ZOR,C000053,2000,30,00,USD
OR00005056,2023-07-10,ZOR,C000009,2000,10,01,GBP
OR00005057,2023-01-19,OR,C000005,2000,20,01,USD
OR00005058,2022-08-18,OR,C000039,3000,10,02,EUR
OR00005059,2023-04-25,RE,C000047,3000,10,01,USD
OR00005060,2022-10-29,RE,C000003,2000,20,02,EUR
OR00005061,2024-05-05,OR,C000049,2000,30,01,USD
OR00005062,2024-04-18,ZOR,C000058,3000,10,01,EUR
OR00005063,2023-03-13,RE,C000058,3000,20,02,USD
OR00005064,2022-10-10,RE,C000049,3000,10,01,USD
OR00005065,2023-09-14,RE,C000046,1000,20,00,EUR
OR00005066,2021-08-05,RE,C000080,1000,10,01,GBP
OR00005067,2023-02-19,OR,C000009,1000,10,01,GBP
OR00005068,2022-10-18,RE,C000072,3000,10,02,USD
OR00005069,2024-04-14,RE,C000022,3000,20,02,EUR
OR00005070,2021-05-04,ZOR,C000038,3000,30,00,GBP
OR00005071,2023-04-21,RE,C000031,1000,30,02,EUR
OR00005072,2023-09-17,OR,C000021,3000,20,02,GBP
OR00005073,2023-02-27,ZOR,C000074,1000,10,01,GBP
OR00005074,2021-11-27,ZOR,C000026,3000,30,02,EUR
OR00005075,2024-07-30,RE,C000040,1000,20,01,EUR
OR00005076,2023-03-25,OR,C000049,1000,20,02,GBP
OR00005077,2023-06-06,RE,C000018,2000,10,00,EUR
OR00005078,2022-07-05,RE,C000052,2000,30,01,USD
OR00005079,2023-02-26,OR,C000031,3000,20,02,GBP
OR00005080,2023-01-11,ZOR,C000030,1000,30,00,GBP
OR00005081,2021-11-06,RE,C000020,3000,30,02,USD
OR00005082,2022-01-04,ZOR,C000024,3000,30,01,EUR
OR00005083,2023-12-24,OR,C000017,3000,30,02,EUR
OR00005084,2022-07-08,RE,C000078,1000,30,01,USD
OR00005085,2022-05-15,OR,C000019,2000,20,01,EUR
OR00005086,2023-03-15,RE,C000069,3000,10,02,GBP
OR00005087,2023-10-13,RE,C000007,3000,30,01,GBP
OR00005088,2021-10-09,RE,C000003,3000,10,02,EUR
OR00005089,2023-05-09,ZOR,C000067,3000,10,02,GBP
OR00005090,2022-01-26,OR,C000051,3000,30,01,GBP
OR00005091,2021-08-04,ZOR,C000004,1000,20,00,EUR
OR00005092,2021-09-17,OR,C000036,1000,20,02,GBP
OR00005093,2023-12-20,OR,C000006,2000,20,00,GBP
OR00005094,2022-01-24,ZOR,C000033,2000,30,00,USD
OR00005095,2021-08-29,RE,C000032,1000,30,02,GBP
OR00005096,2023-01-19,ZOR,C000043,3000,10,00,USD
OR00005097,2024-01-01,ZOR,C000071,1000,20,01,EUR
OR00005098,2022-08-03,ZOR,C000008,2000,20,02,GBP
OR00005099,2023-01-05,OR,C000038,2000,20,00,EUR
OR00005100,2021-08-14,RE,C000001,1000,10,00,EUR
OR00005101,2023-01-28,ZOR,C000067,3000,20,01,USD
OR00005102,2023-05-10,ZOR,C000050,2000,10,01,GBP
OR00005103,2023-05-05,OR,C000012,2000,30,01,GBP
OR00005104,2022-10-15,RE,C000010,2000,20,00,USD
OR00005105,2022-09-28,ZOR,C000065,2000,30,00,EUR
OR00005106,2022-01-05,OR,C000061,3000,10,02,GBP
OR00005107,2022-11-16,OR,C000027,1000,10,01,GBP
OR00005108,2021-12-23,RE,C000066,3000,20,01,USD
OR00005109,2023-10-11,OR,C000043,2000,20,00,EUR
OR00005110,2024-07-14,OR,C000015,3000,30,00,USD
OR00005111,2024-07-24,ZOR,C000012,2000,10,01,GBP
OR00005112,2024-01-26,OR,C000057,2000,30,01,EUR
OR00005113,2023-05-27,RE,C000066,3000,10,02,USD
OR00005114,2023-08-13,OR,C000026,2000,10,00,EUR
OR00005115,2022-08-27,OR,C000052,3000,30,00,EUR
OR00005116,2023-06-18,RE,C000005,1000,10,02,USD
OR00005117,2023-02-03,OR,C000007,2000,30,00,USD
OR00005118,2023-02-25,OR,C000066,3000,30,01,USD
OR00005119,2023-10-03,RE,C000077,2000,30,02,USD
OR00005120,2022-08-24,RE,C000071,1000,30,00,GBP
OR00005121,2022-09-30,RE,C000020,2000,30,02,EUR
OR00005122,2024-04-21,RE,C000038,1000,30,02,GBP
OR00005123,2021-09-26,ZOR,C000069,1000,20,02,USD
OR00005124,2023-02-28,OR,C000064,1000,30,02,GBP
OR00005125,2024-04-02,OR,C000032,3000,20,02,EUR
OR00005126,2023-06-03,OR,C000037,3000,10,02,GBP
OR00005127,2023-04-16,ZOR,C000063,3000,10,00,USD
OR00005128,2022-07-20,OR,C000064,2000,30,02,EUR
OR00005129,2022-10-25,OR,C000043,2000,30,02,USD
OR00005130,2024-01-10,ZOR,C000050,2000,30,02,EUR
OR00005131,2023-04-26,OR,C000015,3000,30,02,EUR
OR00005132,2023-03-23,ZOR,C000008,2000,20,01,EUR
OR00005133,2021-12-23,ZOR,C000039,3000,10,01,GBP
OR00005134,2021-05-24,ZOR,C000003,1000,20,01,USD
OR00005135,2024-07-08,OR,C000020,2000,10,01,USD
OR00005136,2022-11-26,ZOR,C000067,2000,10,02,EUR
OR00005137,2023-05-29,OR,C000024,3000,30,01,USD
OR00005138,2021-11-16,RE,C000061,2000,30,02,EUR
OR00005139,2023-07-30,ZOR,C000065,1000,30,00,GBP
OR00005140,2024-05-05,RE,C000034,3000,30,02,GBP
OR00005141,2023-05-09,RE,C000040,2000,10,01,USD
OR00005142,2022-02-06,RE,C000034,1000,30,00,EUR
OR00005143,2023-05-13,OR,C000049,3000,10,01,GBP
OR00005144,2023-10-11,OR,C000024,1000,10,02,EUR
OR00005145,2022-12-22,OR,C000049,2000,20,01,GBP
OR00005146,2024-02-14,RE,C000002,1000,20,00,USD
OR00005147,2023-07-02,OR,C000067,2000,20,02,EUR
OR00005148,2024-03-12,OR,C000053,2000,30,02,USD
OR00005149,2023-06-13,OR,C000062,1000,20,00,USD
OR00005150,2022-02-14,ZOR,C000077,1000,20,01,GBP
OR00005151,2022-09-22,RE,C000059,2000,10,02,EUR
OR00005152,2022-05-24,OR,C000019,1000,30,00,EUR
OR00005153,2024-03-27,RE,C000001,1000,30,00,EUR
OR00005154,2023-10-06,OR,C000015,3000,30,01,GBP
OR00005155,2023-07-24,RE,C000068,1000,10,02,USD
OR00005156,2022-09-13,ZOR,C000073,2000,20,02,EUR
OR00005157,2022-05-01,ZOR,C000076,3000,20,01,USD
OR00005158,2023-10-02,OR,C000001,2000,30,00,USD
OR00005159,2023-02-18,RE,C000079,2000,30,01,EUR
OR00005160,2022-06-22,ZOR,C000002,1000,30,00,EUR
OR00005161,2023-06-08,RE,C000072,3000,20,02,USD
OR00005162,2021-08-16,ZOR,C000075,2000,10,02,EUR
OR00005163,2022-10-08,OR,C000015,3000,10,01,GBP
OR00005164,2023-02-14,RE,C000049,2000,10,00,GBP
OR00005165,2022-03-12,ZOR,C000026,3000,10,00,EUR
OR00005166,2024-09-07,ZOR,C000021,2000,30,02,USD
OR00005167,2022-06-02,OR,C000058,3000,30,00,EUR
OR00005168,2022-02-13,RE,C000020,3000,20,02,GBP
OR00005169,2022-05-26,RE,C000006,3000,20,02,GBP
OR00005170,2023-10-14,OR,C000078,1000,30,01,USD
OR00005171,2023-01-08,OR,C000010,2000,30,01,GBP
OR00005172,2023-05-01,RE,C000015,1000,30,01,GBP
OR00005173,2021-06-13,RE,C000013,2000,10,00,GBP
OR00005174,2021-07-29,ZOR,C000056,2000,30,01,GBP
OR00005175,2023-01-26,RE,C000013,2000,10,00,EUR
OR00005176,2023-12-01,OR,C000025,2000,10,01,EUR
OR00005177,2024-02-22,RE,C000073,3000,20,02,EUR
OR00005178,2021-11-30,RE,C000034,3000,10,00,EUR
OR00005179,2023-04-10,RE,C000006,3000,10,02,EUR
OR00005180,2024-04-03,RE,C000011,1000,30,02,EUR
OR00005181,2022-12-06,OR,C000017,3000,20,00,EUR
OR00005182,2023-12-15,RE,C000032,3000,30,00,GBP
OR00005183,2022-02-18,ZOR,C000071,1000,10,01,USD
OR00005184,2024-05-10,OR,C000037,2000,10,00,GBP
OR00005185,2023-09-27,ZOR,C000054,1000,30,01,GBP
OR00005186,2024-05-21,OR,C000042,1000,10,00,EUR
OR00005187,2023-07-24,RE,C000021,1000,20,00,GBP
OR00005188,2022-11-13,OR,C000067,1000,10,02,USD
OR00005189,2024-05-15,ZOR,C000070,3000,30,02,USD
OR00005190,2022-08-17,OR,C000025,2000,20,01,USD
OR00005191,2022-10-14,OR,C000021,3000,10,00,GBP
OR00005192,2023-08-13,ZOR,C000074,2000,20,01,GBP
OR00005193,2023-10-10,OR,C000041,3000,30,02,USD
OR00005194,2024-04-29,OR,C000026,1000,20,00,GBP
OR00005195,2022-05-27,RE,C000012,3000,10,00,GBP
OR00005196,2023-11-11,ZOR,C000056,3000,30,02,EUR
OR00005197,2023-09-15,OR,C000015,1000,20,02,USD
OR00005198,2021-10-13,ZOR,C000063,3000,10,00,USD
OR00005199,2022-12-05,OR,C000030,2000,20,00,EUR
OR00005200,2022-08-25,ZOR,C000015,1000,30,00,EUR
OR00005201,2022-09-17,RE,C000045,1000,10,00,GBP
OR00005202,2024-09-01,ZOR,C000023,1000,30,02,GBP
OR00005203,2023-06-28,OR,C000006,2000,10,02,USD
OR00005204,2023-08-28,OR,C000072,1000,10,01,GBP
OR00005205,2024-08-11,OR,C000035,2000,20,02,EUR
OR00005206,2022-11-26,OR,C000003,3000,30,00,GBP
OR00005207,2023-11-15,ZOR,C000009,3000,30,01,USD
OR00005208,2023-01-16,OR,C000003,2000,20,01,GBP
OR00005209,2024-02-01,RE,C000047,2000,10,02,EUR
OR00005210,2022-04-26,ZOR,C000011,3000,20,01,GBP
OR00005211,2024-06-02,ZOR,C000009,3000,10,02,USD
OR00005212,2022-06-13,OR,C000073,2000,30,00,GBP
OR00005213,2022-10-08,RE,C000053,1000,30,01,GBP
OR00005214,2023-10-02,OR,C000038,2000,20,01,GBP
OR00005215,2022-12-11,OR,C000057,1000,20,01,GBP
OR00005216,2023-06-02,OR,C000001,1000,30,01,USD
OR00005217,2023-01-25,OR,C000037,2000,10,01,USD
OR00005218,2023-09-19,OR,C000074,3000,20,02,USD
OR00005219,2022-06-25,ZOR,C000003,1000,10,00,GBP
OR00005220,2021-10-01,ZOR,C000016,1000,10,00,GBP
OR00005221,2022-09-12,ZOR,C000050,2000,20,00,GBP
OR00005222,2023-02-18,OR,C000009,1000,10,02,USD
OR00005223,2022-04-09,RE,C000037,2000,20,00,EUR
OR00005224,2022-11-05,OR,C000064,2000,20,02,GBP
OR00005225,2022-12-17,OR,C000066,3000,30,02,EUR
OR00005226,2021-09-28,ZOR,C000012,3000,20,00,EUR
OR00005227,2023-05-14,OR,C000078,3000,30,00,GBP
OR00005228,2024-02-20,OR,C000045,3000,20,00,GBP
OR00005229,2022-03-17,OR,C000035,1000,30,01,USD
OR00005230,2023-05-25,ZOR,C000036,3000,30,01,USD
OR00005231,2023-07-15,ZOR,C000022,2000,30,00,GBP
OR00005232,2023-01-03,RE,C000062,2000,30,00,GBP
OR00005233,2023-08-14,ZOR,C000042,1000,30,02,GBP
OR00005234,2022-12-26,ZOR,C000046,2000,30,02,GBP
OR00005235,2023-03-15,ZOR,C000037,3000,30,01,USD
OR00005236,2021-04-07,RE,C000003,1000,20,00,EUR
OR00005237,2023-08-06,RE,C000071,1000,10,02,EUR
OR00005238,2023-07-12,OR,C000048,2000,20,02,GBP
OR00005239,2021-08-10,RE,C000009,3000,30,01,USD
OR00005240,2022-11-18,RE,C000043,3000,10,02,EUR
OR00005241,2024-08-19,ZOR,C000046,2000,30,02,EUR
OR00005242,2023-01-04,OR,C000018,3000,20,02,GBP
OR00005243,2023-03-13,RE,C000026,2000,30,02,GBP
OR00005244,2024-03-28,OR,C000002,3000,20,01,EUR
OR00005245,2023-08-28,OR,C000041,1000,10,00,GBP
OR00005246,2023-05-13,OR,C000037,3000,30,00,EUR
OR00005247,2023-11-11,OR,C000029,3000,20,02,USD
OR00005248,2024-01-25,RE,C000060,1000,10,01,EUR
OR00005249,2023-02-04,OR,C000009,1000,20,02,GBP
OR00005250,2023-02-19,OR,C000068,1000,20,01,GBP
OR00005251,2022-12-04,ZOR,C000022,2000,20,02,GBP
OR00005252,2024-07-15,ZOR,C000035,1000,10,00,USD
OR00005253,2023-08-10,ZOR,C000074,1000,20,01,GBP
OR00005254,2021-11-23,RE,C000003,1000,30,00,GBP
OR00005255,2024-01-24,ZOR,C000022,1000,10,00,USD
OR00005256,2023-02-23,OR,C000014,2000,10,00,EUR
OR00005257,2021-10-24,OR,C000022,1000,20,02,USD
OR00005258,2023-04-19,OR,C000032,2000,20,02,EUR
OR00005259,2023-01-01,ZOR,C000035,2000,20,01,GBP
OR00005260,2024-02-12,ZOR,C000003,2000,30,00,GBP
OR00005261,2022-05-26,ZOR,C000034,3000,10,00,GBP
OR00005262,2023-12-12,RE,C000026,2000,30,02,USD
OR00005263,2023-04-25,ZOR,C000029,2000,30,02,GBP
OR00005264,2021-09-22,RE,C000058,3000,10,02,USD
OR00005265,2024-07-29,ZOR,C000041,3000,30,00,EUR
OR00005266,2023-03-21,RE,C000036,3000,10,02,USD
OR00005267,2022-09-02,RE,C000006,3000,20,00,GBP
OR00005268,2023-02-14,ZOR,C000020,3000,10,00,GBP
OR00005269,2024-01-17,OR,C000042,2000,10,00,GBP
OR00005270,2022-09-17,ZOR,C000070,3000,30,02,EUR
OR00005271,2022-05-12,ZOR,C000035,1000,20,02,USD
OR00005272,2022-02-11,OR,C000027,3000,30,00,USD
OR00005273,2022-09-10,OR,C000047,2000,10,00,EUR
OR00005274,2023-10-24,ZOR,C000003,2000,10,01,USD
OR00005275,2023-02-16,ZOR,C000038,3000,20,00,GBP
OR00005276,2022-06-24,RE,C000021,1000,30,02,GBP
OR00005277,2022-04-07,ZOR,C000001,1000,10,02,EUR
OR00005278,2022-10-15,OR,C000020,1000,20,02,EUR
OR00005279,2024-05-18,ZOR,C000010,3000,20,01,GBP
OR00005280,2022-10-25,ZOR,C000014,1000,10,02,EUR
OR00005281,2024-09-21,ZOR,C000076,2000,10,02,USD
OR00005282,2023-02-27,RE,C000032,2000,30,00,GBP
OR00005283,2022-04-24,RE,C000030,1000,10,01,EUR
OR00005284,2024-03-01,RE,C000010,3000,20,01,GBP
OR00005285,2023-02-07,ZOR,C000033,1000,10,01,USD
OR00005286,2023-08-21,RE,C000023,2000,30,02,GBP
OR00005287,2024-09-04,RE,C000016,1000,30,01,USD
OR00005288,2021-09-11,ZOR,C000018,3000,10,02,EUR
OR00005289,2021-12-18,OR,C000033,2000,10,00,USD
OR00005290,2023-08-30,ZOR,C000048,3000,30,01,GBP
OR00005291,2022-08-24,ZOR,C000051,3000,10,01,EUR
OR00005292,2022-05-01,OR,C000004,3000,10,00,GBP
OR00005293,2021-08-13,RE,C000032,3000,30,01,EUR
OR00005294,2021-06-17,ZOR,C000079,2000,10,02,GBP
OR00005295,2023-10-19,RE,C000010,2000,20,01,EUR
OR00005296,2022-02-19,RE,C000074,2000,20,00,GBP
OR00005297,2023-02-13,RE,C000028,3000,30,01,EUR
OR00005298,2023-05-31,RE,C000008,1000,20,01,GBP
OR00005299,2023-01-11,OR,C000050,2000,20,00,USD
OR00005300,2021-07-06,RE,C000057,1000,30,00,GBP
OR00005301,2023-10-28,ZOR,C000016,1000,30,00,GBP
OR00005302,2021-04-26,OR,C000045,2000,20,01,GBP
OR00005303,2023-10-07,OR,C000060,2000,30,00,GBP
OR00005304,2024-03-04,RE,C000015,3000,30,00,EUR
OR00005305,2023-01-15,ZOR,C000050,1000,20,01,EUR
OR00005306,2023-04-08,OR,C000049,1000,10,01,GBP
OR00005307,2023-02-21,RE,C000066,2000,30,02,GBP
OR00005308,2022-12-07,OR,C000080,3000,20,01,USD
OR00005309,2024-02-25,OR,C000010,1000,20,02,GBP
OR00005310,2024-03-05,ZOR,C000052,3000,30,02,EUR
OR00005311,2022-10-18,RE,C000027,2000,20,00,USD
OR00005312,2023-06-07,ZOR,C000047,1000,20,02,USD
OR00005313,2024-04-25,OR,C000054,1000,20,00,USD
OR00005314,2024-07-04,ZOR,C000074,2000,10,02,EUR
OR00005315,2023-03-18,OR,C000061,1000,20,01,GBP
OR00005316,2023-02-01,RE,C000044,2000,20,00,GBP
OR00005317,2022-08-21,ZOR,C000036,2000,30,02,EUR
OR00005318,2024-06-26,RE,C000022,2000,20,00,GBP
OR00005319,2022-03-04,ZOR,C000026,3000,30,02,GBP
OR00005320,2023-05-12,ZOR,C000057,2000,20,01,EUR
OR00005321,2022-08-25,ZOR,C000027,3000,20,02,USD
OR00005322,2022-08-21,ZOR,C000074,1000,10,02,USD
OR00005323,2022-12-21,ZOR,C000062,2000,10,02,EUR
OR00005324,2024-11-28,RE,C000065,2000,20,01,EUR
OR00005325,2021-09-23,ZOR,C000029,1000,30,00,EUR
OR00005326,2023-05-11,ZOR,C000057,2000,10,01,EUR
OR00005327,2021-11-21,RE,C000062,1000,10,02,USD
OR00005328,2022-03-21,ZOR,C000021,1000,10,02,GBP
OR00005329,2023-01-20,OR,C000057,1000,10,00,EUR
OR00005330,2023-03-19,ZOR,C000031,1000,10,01,USD
OR00005331,2022-07-30,RE,C000072,2000,10,02,EUR
OR00005332,2022-09-29,OR,C000074,1000,30,01,GBP
OR00005333,2021-11-30,RE,C000017,1000,30,01,USD
OR00005334,2022-09-15,OR,C000005,3000,20,01,USD
OR00005335,2024-07-15,ZOR,C000044,3000,20,01,USD
OR00005336,2024-05-27,OR,C000020,2000,20,01,EUR
OR00005337,2022-10-17,RE,C000008,3000,10,01,GBP
OR00005338,2023-05-05,ZOR,C000058,2000,10,01,EUR
OR00005339,2024-03-28,OR,C000016,3000,20,01,GBP
OR00005340,2021-03-30,ZOR,C000074,3000,30,00,EUR
OR00005341,2023-11-25,OR,C000058,2000,10,01,GBP
OR00005342,2024-06-04,ZOR,C000007,2000,10,00,USD
OR00005343,2021-12-08,OR,C000039,1000,20,02,EUR
OR00005344,2022-03-31,RE,C000021,3000,20,01,EUR
OR00005345,2024-07-01,ZOR,C000021,1000,20,00,EUR
OR00005346,2023-04-10,RE,C000052,1000,30,02,USD
OR00005347,2021-05-15,OR,C000009,1000,20,00,GBP
OR00005348,2022-07-29,RE,C000070,3000,20,02,GBP
OR00005349,2023-01-29,OR,C000034,2000,30,02,USD
OR00005350,2023-08-07,RE,C000067,2000,10,02,USD
OR00005351,2023-09-11,RE,C000011,3000,30,01,USD
OR00005352,2024-10-29,RE,C000047,3000,10,01,EUR
OR00005353,2022-08-30,RE,C000028,2000,30,02,GBP
OR00005354,2023-04-10,RE,C000070,3000,30,00,EUR
OR00005355,2023-04-06,ZOR,C000023,1000,20,01,GBP
OR00005356,2022-12-22,ZOR,C000071,2000,10,01,USD
OR00005357,2022-04-11,ZOR,C000002,3000,10,02,EUR
OR00005358,2024-08-14,OR,C000036,2000,20,02,GBP
OR00005359,2024-01-12,OR,C000024,2000,20,01,EUR
OR00005360,2023-03-10,ZOR,C000035,1000,30,01,EUR
OR00005361,2023-05-29,ZOR,C000029,2000,10,00,USD
OR00005362,2022-06-24,OR,C000018,3000,30,00,GBP
OR00005363,2023-04-14,RE,C000057,1000,20,00,USD
OR00005364,2023-08-09,ZOR,C000013,3000,10,00,USD
OR00005365,2023-03-23,OR,C000015,2000,10,02,USD
OR00005366,2024-09-30,OR,C000080,1000,30,02,GBP
OR00005367,2023-06-04,ZOR,C000016,2000,10,01,EUR
OR00005368,2022-11-20,ZOR,C000029,3000,10,02,EUR
OR00005369,2023-10-17,OR,C000004,3000,10,01,GBP
OR00005370,2022-04-12,OR,C000069,1000,30,02,EUR
OR00005371,2022-12-03,RE,C000037,1000,30,01,GBP
OR00005372,2022-10-29,OR,C000079,2000,10,00,EUR
OR00005373,2023-01-14,OR,C000077,3000,10,00,GBP
OR00005374,2023-10-26,RE,C000075,3000,20,02,GBP
OR00005375,2023-02-26,OR,C000071,1000,30,01,EUR
OR00005376,2023-11-07,ZOR,C000037,1000,30,01,GBP
OR00005377,2023-05-09,OR,C000063,3000,10,00,GBP
OR00005378,2022-10-24,OR,C000022,3000,30,01,USD
OR00005379,2023-11-24,RE,C000076,2000,20,00,USD
OR00005380,2022-07-07,ZOR,C000072,1000,30,02,USD
OR00005381,2022-06-20,RE,C000071,2000,10,02,EUR
OR00005382,2023-03-15,ZOR,C000073,1000,10,02,EUR
OR00005383,2022-08-01,OR,C000026,1000,20,01,GBP
OR00005384,2021-04-18,OR,C000007,3000,30,02,USD
OR00005385,2023-07-02,ZOR,C000073,1000,10,00,GBP
OR00005386,2023-03-20,OR,C000064,1000,10,00,EUR
OR00005387,2023-01-25,ZOR,C000033,1000,20,00,EUR
OR00005388,2024-07-16,RE,C000062,3000,30,01,USD
OR00005389,2023-05-05,OR,C000074,1000,10,02,USD
OR00005390,2024-01-24,ZOR,C000052,3000,30,00,USD
OR00005391,2022-02-27,ZOR,C000027,1000,30,00,USD
OR00005392,2023-05-04,RE,C000056,3000,10,01,USD
OR00005393,2024-01-30,ZOR,C000063,2000,30,00,EUR
OR00005394,2023-05-14,ZOR,C000030,2000,30,01,EUR
OR00005395,2023-08-28,OR,C000044,2000,10,00,EUR
OR00005396,2022-11-21,RE,C000073,2000,20,02,EUR
OR00005397,2021-12-10,OR,C000063,3000,10,01,GBP
OR00005398,2023-02-05,OR,C000027,2000,20,00,EUR
OR00005399,2022-12-12,RE,C000030,2000,20,01,USD
OR00005400,2024-01-29,RE,C000044,1000,30,02,USD
OR00005401,2022-07-13,OR,C000008,2000,20,00,USD
OR00005402,2024-07-15,RE,C000022,1000,10,02,USD
OR00005403,2024-06-25,RE,C000023,3000,30,02,EUR
OR00005404,2022-07-17,ZOR,C000047,1000,30,01,EUR
OR00005405,2022-10-30,ZOR,C000074,1000,10,01,GBP
OR00005406,2024-03-07,RE,C000066,3000,30,02,GBP
OR00005407,2024-07-15,OR,C000080,3000,10,00,EUR
OR00005408,2023-01-24,OR,C000003,2000,20,02,USD
OR00005409,2022-10-03,RE,C000031,3000,20,01,EUR
OR00005410,2023-04-01,ZOR,C000074,3000,20,00,EUR
OR00005411,2023-08-03,ZOR,C000038,1000,30,00,EUR
OR00005412,2022-08-15,RE,C000043,3000,30,00,USD
OR00005413,2023-09-13,RE,C000080,1000,30,01,GBP
OR00005414,2021-09-15,ZOR,C000078,2000,30,01,GBP
